date,description,amount,balance
2024-09-26,Transfer Out,-6009,-825094.0
2024-08-08,Uber Ride,-11862,-500271.0
2024-10-25,ATM Withdrawal,-20000,-1404678.0
2024-09-11,Internet Subscription,-4070,-370760.0
2024-07-21,Cash Deposit,20000,-275421.0
2024-08-16,Supermarket,-6663,-670422.0
2024-09-18,POS Purchase,-10941,-625210.0
2024-07-03,Supermarket,-13693,-104135.0
2024-12-16,Netflix Subscription,-9371,-2434227.0
2024-09-06,,-2402,-270657.0
2024-07-30,Restaurant,-2529,-387839.0
2024-12-04,Unknown,-9380,-2137944.0
2024-11-25,Data Subscription,-11957,
2024-10-21,Internet Subscription,-2303,-1258287.0
2024-07-07,Cash Withdrawal,-10000,-269210.0
2024-12-14,Pharmacy Purchase,-9095,-2401443.0
2024-10-24,Data Subscription,-4304,-1369678.0
2024-12-13,Cash Withdrawal,-5000,-2484302.0
2024-07-11,Transfer In,20000,-131416.0
2024-10-20,Salary Payment,220000,-1218455.0
2024-08-15,Water Bill,-4754,-568497.0
2024-07-16,Internet Subscription,-9817,-273422.0
2024-07-21,Fuel Station,-11731,-267152.0
2024-11-07,Transfer In,5000,
2024-09-12,Transfer In,10000,-459904.0
2024-11-11,TRF,-4460,-1481262.0
2024-07-06,Loan Repayment,-15000,-220924.0
2024-12-26,Unknown,-5713,-2211545.0
2024-08-12,Supermarket,-5251,-444158.0
2024-12-09,Pharmacy Purchase,-2690,
2024-11-19,Pharmacy Purchase,-4076,-1679619.0
2024-07-21,Cash Deposit,20000,-255421.0
2024-12-03,Electricity Bill,-9775,-2128564.0
2024-07-20,Rent Payment,-60000,-453375.0
2024-12-26,School Fees,-30000,
2024-09-08,Uber Ride,-10523,-331273.0
2024-11-24,POS Purchase,-12062,-1625225.0
2024-07-17,,-13873,-330626.0
2024-07-28,Electricity Bill,-8188,-294737.0
2024-08-03,Data Subscription,-12115,-448866.0
2024-09-23,Electricity Bill,-2394,-761988.0
2024-12-21,Cash Deposit,5000,-2500511.0
2024-08-25,Medical Expense,-1862,-487932.0
2024-11-07,TRF,-4158,-1366866.0
2024-09-27,Data Subscription,-11932,-858029.0
2024-12-06,Airtime Recharge,-4985,-2160078.0
2024-10-21,Gym Membership,-7163,-1279430.0
2024-12-23,TRF,-2069,-2312281.0
2024-07-07,Medical Expense,-9690,-259210.0
2024-09-07,Loan Repayment,-10000,-320750.0
2024-12-30,School Fees,-45000,-2280568.0
2024-08-30,Data Subscription,-5378,-573677.0
2024-11-12,Transfer Out,-8637,-1523319.0
2024-11-07,,1323,-1360543.0
2024-09-22,Restaurant,-642,-729079.0
2024-09-03,Salary Payment,180000,-421657.0
2024-08-26,Transfer In,20000,-470553.0
2024-09-11,Data Subscription,-12122,-412757.0
2024-12-09,Electricity Bill,-6049,-2334814.0
2024-08-12,Internet Subscription,-6153,
2024-12-14,Pharmacy Purchase,-10055,-2392348.0
2024-07-23,Restaurant,-14548,-306313.0
2024-11-28,Cash Withdrawal,-20000,-1933977.0
2024-10-07,Transfer Out,-1028,-1034523.0
2024-09-02,Restaurant,-2313,
2024-11-10,School Fees,-30000,-1476802.0
2024-11-12,POS,-14056,-1514682.0
2024-07-18,Transfer In,5000,-339292.0
2024-12-11,Transfer Out,-3345,-2421401.0
2024-07-20,Gym Membership,-10912,-466244.0
2024-08-10,Unknown,-5358,-588499.0
2024-09-23,TRF,-12345,
2024-10-27,Cash Withdrawal,-10000,-1426810.0
2024-11-15,Cash Withdrawal,-5000,-1606266.0
2024-12-17,Water Bill,-13840,-2448067.0
2024-08-20,Unknown,-13354,-842441.0
2024-09-15,Transfer Out,-10807,-511688.0
2024-08-28,Transfer In,10000,-514909.0
2024-09-18,Restaurant,-5088,
2024-10-09,Cash Deposit,20000,
2024-08-30,Electricity Bill,-8922,-568299.0
2024-10-02,Fast Food,-6594,-984689.0
2024-07-27,Uber Ride,-2816,-246470.0
2024-07-29,Airtime Recharge,-9493,-328224.0
2024-08-24,POS,-5065,-486070.0
2024-10-04,Medical Expense,-12487,-1000517.0
2024-09-05,Medical Expense,-7952,-268255.0
2024-08-26,Spotify Subscription,-8193,-523746.0
2024-11-16,Loan Repayment,-15000,-1621266.0
2024-09-25,Cash Withdrawal,-10000,-804171.0
2024-11-01,Grocery Store,-9600,
2024-11-29,TRF,-3609,-1957586.0
2024-09-25,Pharmacy Purchase,-9507,-794171.0
2024-09-16,Medical Expense,-9705,-571393.0
2024-08-06,Pharmacy Purchase,-3338,
2024-10-26,POS,-12132,-1416810.0
2024-11-21,ATM Withdrawal,-10000,
2024-07-11,Spotify Subscription,-14113,
2024-07-20,Unknown,-8342,-474586.0
2024-12-05,Transfer In,20000,-2154226.0
2024-07-18,POS,-1138,-355577.0
2024-07-03,Electricity Bill,-4585,-108720.0
2024-09-16,POS Purchase,-8959,-599586.0
2024-08-15,,-6569,-555513.0
2024-10-08,Cash Deposit,20000,-1014523.0
2024-08-24,Salary Payment,220000,-481005.0
2024-10-10,POS,-776,-1040149.0
2024-07-23,Cash Deposit,10000,
2024-12-03,Spotify Subscription,-12679,-2111701.0
2024-12-03,Netflix Subscription,-6801,-2090837.0
2024-07-22,Fuel Station,-14613,-281765.0
2024-07-06,Unknown,-14812,-205924.0
2024-08-19,Restaurant,-4731,-810683.0
2024-11-08,Loan Repayment,10000,-1363091.0
2024-11-26,Rent Payment,-80000,
2024-12-12,Electricity Bill,-13763,
2024-08-23,Transfer Out,-11196,-883842.0
2024-09-30,Electricity Bill,-3607,
2024-08-04,Bolt Ride,-9187,-445899.0
2024-08-23,Salary Payment,200000,-683842.0
2024-11-27,Supermarket,-8221,-1857672.0
2024-12-07,Rent Payment,-80000,-2282706.0
2024-07-03,School Fees,-30000,-90442.0
2024-08-25,Gym Membership,-2621,-490553.0
2024-09-06,,-11257,-281914.0
2024-09-30,Airtime Recharge,-1641,-914967.0
2024-12-26,Cash Deposit,10000,-2175832.0
2024-09-13,Fuel Station,-7862,-475228.0
2024-07-23,,-5554,-291216.0
2024-09-14,Spotify Subscription,-9438,
2024-09-06,Spotify Subscription,-13443,-295357.0
2024-09-05,Netflix Subscription,-7733,-246543.0
2024-12-31,,-14896,-2297806.0
2024-08-18,Unknown,-1155,-793696.0
2024-07-07,Uber Ride,-6163,-249520.0
2024-08-17,Restaurant,-2095,-690197.0
2024-12-12,,-7004,-2451865.0
2024-08-16,Medical Expense,-1905,-580683.0
2024-12-09,Grocery Store,-9289,-2346793.0
2024-08-09,Fuel Station,-13060,-571838.0
2024-07-21,Salary Payment,180000,-295421.0
2024-07-25,Restaurant,-7382,-201357.0
2024-09-30,Netflix Subscription,-2283,-918326.0
2024-07-18,Uber Ride,-2856,-373375.0
2024-12-10,POS Purchase,-10457,-2418056.0
2024-12-14,Uber Ride,-14152,-2415595.0
2024-08-18,Fuel Station,-5632,-774792.0
2024-07-04,Loan Repayment,-10000,-132986.0
2024-08-24,Netflix Subscription,10163,-701005.0
2024-09-10,Loan Repayment,-10000,-371636.0
2024-07-24,Internet Subscription,-9933,-321826.0
2024-12-01,Medical Expense,-7149,-2006540.0
2024-07-30,Uber Ride,-14177,-385310.0
2024-11-01,Pharmacy Purchase,-9110,
2024-11-15,Transfer Out,-14735,-1591102.0
2024-07-09,Unknown,-5062,-298463.0
2024-07-01,Transfer In,5000,
2024-12-27,Data Subscription,-3199,-2209582.0
2024-10-31,Medical Expense,-973,-1458351.0
2024-10-18,Fast Food,-1977,-1341422.0
2024-10-12,Supermarket,-7570,-1219236.0
2024-12-02,School Fees,-30000,-2084036.0
2024-09-26,,-14914,-819085.0
2024-07-06,Airtime Recharge,-5237,-191112.0
2024-11-24,ATM Withdrawal,-10000,-1665225.0
2024-07-30,School Fees,-30000,-371133.0
2024-07-24,Rent Payment,-60000,-381826.0
2024-08-16,Water Bill,-11007,-681429.0
2024-09-07,Unknown,-13227,
2024-12-10,School Fees,-45000,-2402599.0
2024-07-05,Transfer Out,-10661,-169080.0
2024-09-09,Uber Ride,-749,
2024-10-10,Gym Membership,-6524,-1034003.0
2024-08-07,Spotify Subscription,-11845,-488409.0
2024-09-25,Fast Food,11322,-784664.0
2024-09-22,,-1318,-759594.0
2024-12-10,Cash Withdrawal,-5000,-2351426.0
2024-10-22,Gym Membership,-4461,-1290157.0
2024-10-28,,14387,
2024-12-15,ATM Withdrawal,-5000,-2424856.0
2024-10-14,Water Bill,-14621,-1277772.0
2024-12-13,Unknown,-13963,-2479302.0
2024-08-13,Gym Membership,-1304,
2024-07-16,Unknown,-11147,-233605.0
2024-09-20,Gym Membership,-3485,-690803.0
2024-07-12,POS Purchase,-4316,-172893.0
2024-07-25,Cash Deposit,20000,-181357.0
2024-09-20,Netflix Subscription,-4152,-681475.0
2024-11-02,Electricity Bill,-2750,-1514768.0
2024-07-28,Transfer Out,-3427,-286549.0
2024-12-25,Cash Withdrawal,-20000,-2175235.0
2024-08-19,Unknown,-9617,-805952.0
2024-12-31,,-1245,-2299051.0
2024-11-30,Transfer In,20000,-1977358.0
2024-11-22,Netflix Subscription,-12193,-1568604.0
2024-09-02,ATM Withdrawal,-20000,-593194.0
2024-10-14,Unknown,-4918,-1246314.0
2024-11-01,Restaurant,10936,-1460994.0
2024-07-02,Grocery Store,1777,
2024-11-02,Fast Food,-4930,-1512018.0
2024-11-06,POS,7266,-1357537.0
2024-09-20,Supermarket,-5843,-687318.0
2024-09-01,POS Purchase,-2110,-573194.0
2024-09-18,,-14328,-619181.0
2024-11-28,,-13248,-1913977.0
2024-07-19,ATM Withdrawal,-20000,-393375.0
2024-10-24,Fuel Station,-14169,-1362015.0
2024-12-27,Gym Membership,-3158,
2024-11-02,POS,-7286,-1522054.0
2024-08-08,Unknown,-2667,-544106.0
2024-08-01,TRF,-2746,-414574.0
2024-11-19,Transfer Out,-14851,
2024-12-05,Fuel Station,-6546,-2144490.0
2024-08-17,Supermarket,-1279,-691476.0
2024-10-06,POS,-5798,-1023173.0
2024-09-28,Airtime Recharge,-692,-878721.0
2024-12-27,POS,-12542,
2024-12-13,Rent Payment,-80000,-2564302.0
2024-08-06,Water Bill,-5932,-467328.0
2024-08-06,Fuel Station,-8375,-461396.0
2024-09-27,ATM Withdrawal,-20000,-878029.0
2024-07-05,Spotify Subscription,-5423,-174503.0
2024-08-14,Netflix Subscription,-6883,-488944.0
2024-11-26,Loan Repayment,-15000,-1749451.0
2024-07-04,Grocery Store,-3502,-112222.0
2024-07-06,Uber Ride,7567,-213357.0
2024-10-28,Restaurant,-10338,-1422761.0
2024-11-24,Transfer Out,-2049,-1671182.0
2024-10-18,Transfer Out,-5068,-1370984.0
2024-09-30,Cash Deposit,5000,-913326.0
2024-09-05,ATM Withdrawal,-5000,-251543.0
2024-12-10,Medical Expense,-4633,-2346426.0
2024-09-12,Cash Withdrawal,-20000,-432757.0
2024-08-09,Medical Expense,-11303,-583141.0
2024-08-02,TRF,-8851,
2024-10-17,Supermarket,-13796,-1319445.0
2024-07-29,Medical Expense,-11387,-318731.0
2024-09-21,Internet Subscription,-2370,-728437.0
2024-08-14,Rent Payment,-60000,-548944.0
2024-07-16,Fuel Station,-10649,-284071.0
2024-10-10,Pharmacy Purchase,-5370,-1039373.0
2024-08-28,Airtime Recharge,-1526,-516435.0
2024-09-14,Fast Food,-3083,
2024-07-04,Restaurant,-11517,-158419.0
2024-10-05,School Fees,-30000,-1030517.0
2024-09-07,Unknown,-3187,-311929.0
2024-10-01,POS Purchase,-3092,-976062.0
2024-12-21,Fast Food,-6049,-2530212.0
2024-08-18,Gym Membership,-2018,-779609.0
2024-10-09,Airtime Recharge,-3254,-1022479.0
2024-12-07,Medical Expense,-12742,-2202706.0
2024-10-19,Restaurant,-6689,-1386235.0
2024-07-25,Pharmacy Purchase,-4855,-186212.0
2024-08-16,Electricity Bill,-13076,-663759.0
2024-09-20,Internet Subscription,-13469,-704272.0
2024-10-24,POS Purchase,-13359,
2024-10-12,TRF,-10051,-1211666.0
2024-10-28,,-12802,-1435563.0
2024-10-07,Medical Expense,-10322,-1033495.0
2024-07-01,Uber Ride,-3562,-58420.0
2024-07-12,Unknown,-13765,-168577.0
2024-09-29,Transfer Out,-14274,-912436.0
2024-11-29,TRF,-9772,-1967358.0
2024-10-31,Restaurant,-13579,-1471930.0
2024-07-04,Grocery Store,-13916,-146902.0
2024-07-13,POS Purchase,-12303,-193538.0
2024-12-28,Internet Subscription,-3969,-2213551.0
2024-12-12,Internet Subscription,-2716,-2444861.0
2024-07-01,Rent Payment,-60000,-49512.0
2024-10-11,Internet Subscription,-4499,-1137342.0
2024-10-01,Fast Food,-1938,-946408.0
2024-09-24,TRF,-11363,-787481.0
2024-11-23,,-777,-1599381.0
2024-10-22,Supermarket,-2366,-1303485.0
2024-11-20,Airtime Recharge,-7480,-1544977.0
2024-10-01,ATM Withdrawal,-10000,-956408.0
2024-08-28,Netflix Subscription,-10049,
2024-07-07,Loan Repayment,-10000,-223357.0
2024-11-16,Uber Ride,-2995,-1624261.0
2024-09-10,Electricity Bill,-9415,-355935.0
2024-07-14,Gym Membership,-3230,-204838.0
2024-08-30,Transfer In,10000,-563677.0
2024-07-10,Salary Payment,180000,
2024-08-10,Grocery Store,-4180,-595554.0
2024-09-03,Transfer Out,-6150,-601657.0
2024-12-22,Salary Payment,220000,
2024-08-15,Electricity Bill,-8230,-563743.0
2024-12-01,Unknown,-3668,-2010208.0
2024-10-22,Airtime Recharge,-1592,
2024-08-19,Cash Deposit,10000,-796335.0
2024-12-02,Loan Repayment,-10000,-2021900.0
2024-12-07,Transfer In,5000,-2189964.0
2024-12-24,Cash Deposit,5000,-2321237.0
2024-12-03,Supermarket,-8185,-2099022.0
2024-07-18,POS Purchase,-14942,-370519.0
2024-10-10,ATM Withdrawal,-5000,-1027479.0
2024-08-13,Loan Repayment,-15000,-466335.0
2024-10-11,,-10347,-1062843.0
2024-08-12,POS,-10648,-438907.0
2024-09-22,Fuel Station,-6251,-758276.0
2024-08-18,Spotify Subscription,-12639,-806335.0
2024-11-29,Cash Withdrawal,-20000,-1953977.0
2024-10-21,Spotify Subscription,-13980,-1272267.0
2024-08-09,POS Purchase,-12515,-558778.0
2024-10-11,Gym Membership,-4769,-1142111.0
2024-10-14,Cash Withdrawal,-10000,-1256314.0
2024-08-29,Supermarket,-6929,-559377.0
2024-11-27,,-11023,-1868695.0
2024-11-20,Gym Membership,-1434,-1546411.0
2024-07-27,Spotify Subscription,-6730,-243654.0
2024-11-04,Netflix Subscription,-5446,-1556228.0
2024-07-20,Fuel Station,-835,-475421.0
2024-11-15,Data Subscription,-10164,-1601266.0
2024-12-24,Transfer Out,-10454,-2326237.0
2024-07-31,,-1321,-389160.0
2024-11-06,Salary Payment,220000,-1350847.0
2024-11-11,Data Subscription,-8312,-1489574.0
2024-12-18,Pharmacy Purchase,-3906,
2024-08-23,Unknown,-7084,-711168.0
2024-10-12,Netflix Subscription,-9769,-1236396.0
2024-10-20,Loan Repayment,-10000,-1228455.0
2024-11-07,Electricity Bill,-753,
2024-12-24,Data Subscription,-3502,-2315783.0
2024-07-02,POS,-8799,-60442.0
2024-10-30,Spotify Subscription,-9477,-1457378.0
2024-07-10,ATM Withdrawal,10000,-307991.0
2024-08-05,Fuel Station,-3203,-449683.0
2024-09-06,Transfer Out,-5885,-318742.0
2024-09-20,Water Bill,-11855,
2024-11-04,Uber Ride,-9625,-1550782.0
2024-10-11,Rent Payment,-70000,-1132843.0
2024-07-16,School Fees,-30000,-316753.0
2024-07-29,Water Bill,-14904,-306036.0
2024-10-25,Loan Repayment,-15000,-1384678.0
2024-11-14,Bolt Ride,-11887,-1559565.0
2024-12-09,Transfer In,5000,-2341793.0
2024-09-10,Pharmacy Purchase,-14498,-346520.0
2024-11-30,Electricity Bill,-1931,-1989289.0
2024-09-19,Restaurant,-13665,-677323.0
2024-08-08,Water Bill,-7157,
2024-09-10,Water Bill,-5054,-376690.0
2024-12-05,,-4231,-2156151.0
2024-10-09,Cash Deposit,10000,-1039225.0
2024-12-21,POS,-9815,-2524163.0
2024-07-10,POS Purchase,-916,-128907.0
2024-12-25,,-2866,
2024-09-22,Uber Ride,-3185,-744302.0
2024-08-20,Spotify Subscription,-13520,-829087.0
2024-10-06,TRF,13142,-1017375.0
2024-11-01,Supermarket,-12384,-1492088.0
2024-08-08,Loan Repayment,-15000,-515271.0
2024-12-14,TRF,-7991,
2024-12-20,TRF,-7965,-2483859.0
2024-08-08,Fast Food,-12061,
2024-11-15,Transfer In,20000,-1566493.0
2024-10-03,Fuel Station,-2245,-988030.0
2024-09-27,Medical Expense,6218,-835869.0
2024-11-05,Electricity Bill,-12839,
2024-08-01,Electricity Bill,-3540,-411828.0
2024-12-02,,-1692,
2024-07-25,Fuel Station,-7216,-203343.0
2024-08-06,Restaurant,-9236,-476564.0
2024-09-04,Salary Payment,180000,-241657.0
2024-10-19,Uber Ride,-8562,-1379546.0
2024-12-12,Spotify Subscription,-13474,-2465339.0
2024-07-25,,-4682,-208025.0
2024-10-11,,-30000,
2024-09-26,Pharmacy Purchase,-1993,-842087.0
2024-09-14,Pharmacy Purchase,-13132,-497798.0
2024-09-18,Medical Expense,-12400,-637610.0
2024-09-07,Transfer In,10000,-308742.0
2024-10-20,Pharmacy Purchase,-3185,
2024-07-31,Medical Expense,-12504,
2024-08-16,Medical Expense,-6673,
2024-08-22,ATM Withdrawal,-20000,-872646.0
2024-09-26,Loan Repayment,-15000,-840094.0
2024-09-05,Restaurant,-8760,-260303.0
2024-10-24,Netflix Subscription,-10550,-1347846.0
2024-12-20,Loan Repayment,-10000,-2498859.0
2024-11-30,Loan Repayment,-10000,-1987358.0
2024-11-29,School Fees,-30000,-1997358.0
2024-12-27,Cash Deposit,20000,-2206383.0
2024-12-07,Uber Ride,-6978,-2289684.0
2024-12-21,Medical Expense,-13837,-2514348.0
2024-08-02,Transfer In,20000,-394574.0
2024-10-21,Electricity Bill,-9861,-1255984.0
2024-11-17,Internet Subscription,-14446,-1650692.0
2024-11-12,POS,-7631,-1530950.0
2024-08-28,Water Bill,-14590,-531025.0
2024-10-01,Restaurant,-13320,-969728.0
2024-07-15,TRF,-6680,-222458.0
2024-08-27,Unknown,-3920,-544909.0
2024-08-03,Fast Food,-6272,-412892.0
2024-12-10,Cash Withdrawal,-5000,-2407599.0
2024-11-06,Netflix Subscription,-13956,-1364803.0
2024-12-21,Medical Expense,-6652,-2505511.0
2024-12-11,Airtime Recharge,-6981,-2428382.0
2024-11-02,Loan Repayment,-10000,-1532054.0
2024-11-07,Spotify Subscription,-4418,-1361955.0
2024-07-26,Netflix Subscription,-6514,-237122.0
2024-11-09,Fuel Station,-11624,-1374715.0
2024-10-16,Data Subscription,-12806,-1297212.0
2024-12-25,TRF,-1132,-2342369.0
2024-09-18,Loan Repayment,-15000,-652610.0
2024-09-10,Transfer In,10000,-366690.0
2024-07-14,POS Purchase,-5511,-210349.0
2024-11-03,POS Purchase,-1422,-1541157.0
2024-12-05,TRF,-7430,-2151920.0
2024-07-29,,-1308,-307344.0
2024-08-16,Rent Payment,-70000,-650683.0
2024-11-15,Fast Food,-9874,-1576367.0
2024-11-27,Transfer Out,-10595,
2024-11-26,Fast Food,-13255,-1734451.0
2024-10-12,Pharmacy Purchase,-14504,-1201615.0
2024-09-23,Transfer In,20000,-768479.0
2024-11-10,Internet Subscription,-11379,-1446802.0
2024-08-09,Transfer In,5000,-546263.0
2024-08-14,Restaurant,-9740,-482061.0
2024-08-31,Cash Withdrawal,-10000,-571084.0
2024-09-22,Uber Ride,-12038,-741117.0
2024-11-18,Loan Repayment,-10000,-1660692.0
2024-08-12,Transfer In,10000,-434158.0
2024-09-25,POS Purchase,-8505,-795986.0
2024-08-04,Airtime Recharge,9489,-436712.0
2024-10-22,Restaurant,-7139,-1310624.0
2024-12-14,Salary Payment,180000,-2374302.0
2024-08-19,POS Purchase,-4884,-815567.0
2024-10-09,Internet Subscription,-11327,
2024-09-07,Grocery Store,-5594,-310750.0
2024-08-31,POS Purchase,-8477,-561084.0
2024-12-05,Bolt Ride,-10440,
2024-07-30,POS,-12909,-341133.0
2024-07-31,TRF,-9267,-398427.0
2024-11-20,Cash Withdrawal,-10000,-1537497.0
2024-09-16,ATM Withdrawal,-5000,-516688.0
2024-10-12,Water Bill,-7391,-1226627.0
2024-10-15,Bolt Ride,-5443,-1283215.0
2024-08-28,Medical Expense,-11374,-542399.0
2024-12-20,ATM Withdrawal,-5000,-2488859.0
2024-11-27,ATM Withdrawal,-20000,-1849451.0
2024-11-14,Bolt Ride,-755,-1547678.0
2024-10-02,Transfer Out,-1096,
2024-08-02,Netflix Subscription,-1392,-404817.0
2024-12-27,Unknown,862,-2213841.0
2024-11-06,,-1780,-1570847.0
2024-09-16,ATM Withdrawal,-10000,-581393.0
2024-12-14,Loan Repayment,10000,-2554302.0
2024-07-11,Airtime Recharge,-3069,-148598.0
2024-07-28,Restaurant,-6151,-283122.0
2024-12-02,POS Purchase,-5773,-2027673.0
2024-11-25,Loan Repayment,-15000,-1700303.0
2024-08-03,Cash Deposit,20000,-428866.0
2024-11-23,POS,-13782,-1613163.0
2024-11-02,Internet Subscription,-7681,-1539735.0
2024-07-17,Cash Withdrawal,-20000,-350626.0
2024-07-11,Bolt Ride,-6214,-154812.0
2024-08-13,Internet Subscription,-4326,-470661.0
2024-07-18,Gym Membership,-4609,-354439.0
2024-09-16,School Fees,-45000,-561688.0
2024-07-23,Internet Subscription,-1787,-293003.0
2024-09-05,Cash Deposit,20000,-231657.0
2024-08-17,Transfer Out,-7684,-699160.0
2024-09-27,Transfer Out,-10228,-846097.0
2024-08-11,Fuel Station,-10280,-405834.0
2024-07-10,Fast Food,-7823,-317991.0
2024-08-14,Pharmacy Purchase,-1660,-472321.0
2024-12-02,Grocery Store,-11363,-2054036.0
2024-12-01,Gym Membership,-6820,-1996109.0
2024-12-17,Transfer In,10000,-2438067.0
2024-07-25,Gym Membership,-9915,
2024-09-04,Transfer In,20000,-221657.0
2024-11-10,Internet Subscription,-10261,-1390423.0
2024-12-06,Gym Membership,-867,-2155093.0
2024-08-23,Netflix Subscription,-10903,-704084.0
2024-10-18,POS Purchase,-12755,-1365916.0
2024-10-20,School Fees,-45000,-1438455.0
2024-12-01,Transfer Out,-3282,-1999391.0
2024-08-26,POS,-1489,-531538.0
2024-07-01,Electricity Bill,-5346,-54858.0
2024-12-08,ATM Withdrawal,20000,-2287448.0
2024-07-26,,-12583,-220608.0
2024-10-21,POS,-6266,-1285696.0
2024-11-24,School Fees,-30000,-1655225.0
2024-07-13,Uber Ride,-8342,-181235.0
2024-07-09,Transfer Out,-4191,-293401.0
2024-08-21,Restaurant,-1956,-844397.0
2024-08-04,Grocery Store,-9720,
2024-07-07,Cash Withdrawal,-20000,-243357.0
2024-12-06,Electricity Bill,-4886,-2164964.0
2024-08-30,Netflix Subscription,-8930,-572607.0
2024-11-19,Salary Payment,180000,
2024-10-13,Loan Repayment,-15000,-1251396.0
2024-09-17,Medical Expense,-5267,-604853.0
2024-10-24,Loan Repayment,10000,-1365374.0
2024-10-18,Transfer Out,-11739,
2024-11-23,School Fees,-30000,-1598604.0
2024-08-04,,-581,-446480.0
2024-07-17,Pharmacy Purchase,6334,-344292.0
2024-11-13,Bolt Ride,-1817,-1546923.0
2024-08-03,Medical Expense,-1803,-406620.0
2024-12-25,Salary Payment,180000,-2155235.0
2024-11-28,TRF,-10960,-1900729.0
2024-07-18,Transfer Out,-10538,-349830.0
2024-07-04,POS,-4515,-122986.0
2024-08-10,Medical Expense,-2875,-591374.0
2024-07-11,Water Bill,-11019,-151416.0
2024-11-19,POS,-13422,-1527497.0
2024-10-13,Transfer In,10000,
2024-08-17,Rent Payment,-70000,-769160.0
2024-08-26,Fast Food,-6303,-530049.0
2024-07-14,POS Purchase,-5429,-215778.0
2024-09-30,Bolt Ride,-10313,-925280.0
2024-09-19,ATM Withdrawal,-10000,-662610.0
2024-09-06,TRF,-12500,
2024-11-10,School Fees,-45000,-1435423.0
2024-11-08,Electricity Bill,-9329,-1373091.0
2024-12-30,Water Bill,-2342,-2282910.0
2024-09-11,POS Purchase,-14875,-385635.0
2024-08-22,Internet Subscription,-8249,-852646.0
2024-08-12,POS,-11759,-428259.0
2024-12-07,School Fees,-30000,-2194964.0
2024-10-21,Fuel Station,-14483,-1246123.0
2024-11-15,Fast Food,-9947,-1586493.0
2024-07-27,Cash Withdrawal,-20000,-266470.0
2024-12-09,Loan Repayment,-15000,
2024-10-17,Cash Withdrawal,-20000,-1339445.0
2024-07-01,Transfer In,20000,25000.0
2024-12-15,Data Subscription,-4261,-2419856.0
2024-12-08,Cash Withdrawal,-10000,-2300504.0
2024-07-22,ATM Withdrawal,-10000,-291765.0
2024-08-23,Electricity Bill,-9339,-693181.0
2024-07-10,Netflix Subscription,-11705,-310168.0
2024-11-25,Cash Deposit,10000,-1690303.0
2024-10-29,Restaurant,-12338,-1447901.0
2024-11-07,Gym Membership,-3219,-1363762.0
2024-10-10,Uber Ride,-12347,-1052496.0
2024-07-24,Salary Payment,200000,-193975.0
2024-10-01,Electricity Bill,-8666,-944470.0
2024-12-08,Grocery Store,-11317,-2298765.0
2024-10-02,Pharmacy Purchase,-2033,-978095.0
2024-09-04,School Fees,-30000,-251657.0
2024-07-04,Uber Ride,-6249,-118471.0
2024-09-24,Grocery Store,-7639,-776118.0
2024-10-17,POS Purchase,-8437,-1305649.0
2024-09-12,POS Purchase,7853,-424904.0
2024-08-13,,-9720,-450031.0
2024-12-29,TRF,-8432,-2221983.0
